Model,Accuracy,F1 (weighted)
SVM (SVC),0.640247329960652,0.6397692876989224
KNN Classifier,0.6323777403035413,0.631460690626892
Logistic Regression,0.6250702641933671,0.6254359474852076
Decision Tree,0.6115795390668916,0.6123896226637875
Naive Bayes,0.5767284991568297,0.5730243122788323
